FACILITY_NAME,DRG,Total
CLINCH VALLEY MEDICAL CENTER    ,004,202255.5
,041,106173
,054,47920
,055,22113
,056,130314
,057,54055.2857142857
,060,49767
,063,93845
,064,58422.5714285714
,065,46117.0277777778
,066,34795.6
,067,23880
,069,27382
,071,22453
,075,12932
,079,26592
,080,36756
,086,15935
,087,35773
,091,52567
,092,30352.6666666667
,093,36887.3333333333
,095,56856.5
,101,31778.3333333333
,103,16879
,131,46299
,134,40378
,137,51429
,147,59830
,149,29024
,150,21283
,151,31602
,153,17384.6
,155,24421
,156,43375
,157,36997
,158,33611
,166,108635.454545455
,167,63345.2
,168,38799.5
,175,43298.5714285714
,176,32226.625
,177,73385
,178,97964.75
,179,45163.5
,180,86764.2
,181,43042.25
,183,46384
,184,36043.3333333333
,186,97022.5
,187,26809.75
,189,47184.4347826087
,190,39576.0689655172
,191,33866.3548387097
,192,25646.2222222222
,193,51429.0561797753
,194,49700.4166666667
,195,26791.125
,196,37701.6
,197,36648.2
,198,21269.5
,199,56521
,200,27233
,202,28723.3513513514
,203,21588.8148148148
,204,37432
,205,48782
,206,23691.6
,208,71578.2727272727
,240,64167
,242,62711
,243,55504
,244,54585
,246,82527.2222222222
,247,57306.0540540541
,248,81388
,249,46545
,250,77988.3333333333
,251,66005.6666666667
,254,95285
,256,55104.5
,264,120654
,270,174223
,280,43970.55
,281,35488.0384615385
,282,24401.7
,283,26673.25
,286,59120.5714285714
,287,44522.46875
,288,133355
,291,41391.7572815534
,292,35892.0333333333
,293,40191.7142857143
,296,24094
,299,48302
,300,20495.2727272727
,301,29542.6666666667
,302,18412
,303,25482.5
,304,26499
,305,19139.2222222222
,308,45330.5925925926
,309,27049.1794871795
,310,18736.3333333333
,311,27316.6666666667
,312,33126.1333333333
,313,25260.7352941176
,314,67805
,315,38555.6666666667
,316,10962
,326,175808
,327,40763
,328,62503
,329,149854
,330,92292.3333333333
,331,72695.3333333333
,335,101842.5
,336,62027.3333333333
,337,62226.5
,339,70975.5
,340,33616
,342,35140
,343,37397.2
,345,74075
,346,63837
,349,70044
,351,50030
,352,55778
,354,83545
,355,34611
,357,79508.6666666667
,358,76293
,368,138680
,369,43744
,371,55027.6666666667
,372,35360.3125
,373,26463
,375,38645
,376,18368
,377,51979.8333333333
,378,46985.8947368421
,379,27873.875
,380,137332
,384,37318
,386,36151.2
,387,24693
,388,20409
,389,35214
,390,22982.375
,391,58280.7777777778
,392,29278.8888888889
,393,61171.6666666667
,394,33961.4545454545
,395,36301.5
,410,79917
,416,91794
,417,75048
,418,57168.5
,419,50385
,432,65907.6666666667
,433,24792.6666666667
,435,44225
,436,42564
,438,65406.2857142857
,439,32423.1666666667
,440,27122.2
,441,76015.25
,442,32910.8888888889
,443,33047.3333333333
,444,22117.5
,445,35577.8888888889
,446,30001.2
,464,93897.3333333333
,469,140317.6
,470,98393.4814814815
,477,83827
,479,61778
,480,121638
,481,94442.6666666667
,482,81212.8333333333
,483,115633.5
,486,60199
,488,61502
,492,174410
,493,85830.6666666667
,494,72794.5
,496,68661
,501,61487.5
,505,97883
,511,76374.5
,512,70795
,516,97913.5
,517,73638
,534,32720
,535,40057
,536,51620
,537,20402
,539,45951
,540,37968.2857142857
,541,16478
,542,69710
,543,26576.25
,545,13901
,549,37713.75
,551,41614
,552,44051.25
,553,128920
,554,22361
,556,16419.3333333333
,558,41976.6666666667
,559,63814.1111111111
,560,55220
,561,37538.2222222222
,563,48793.8333333333
,564,79220.5
,565,37639
,566,28345
,571,71597.2
,580,50372
,581,53373.5
,592,45800.1666666667
,593,83384.5
,602,35786.8181818182
,603,31487.1956521739
,605,18141
,607,36298
,620,56887
,621,47662.2
,622,98089
,623,53592
,629,50883
,637,54500
,638,33108.3684210526
,639,25429
,640,44169.8
,641,25195.350877193
,643,46768
,644,23647.5
,661,43146
,668,51759
,669,67329.3333333333
,670,51013
,682,34826.75
,683,37454.6551724138
,684,25116.7142857143
,686,104901
,689,43064.5263157895
,690,34485.8362068965
,693,57816
,694,34061.2
,695,79707
,696,15348
,698,42056.6363636364
,699,34891.9
,700,15218.6666666667
,711,91398
,714,26846
,715,173808
,726,25373
,728,29525.875
,741,51322
,742,55709.75
,743,47196.5333333333
,744,25412
,759,15576
,761,17255
,765,39161
,766,37953.306122449
,767,20622
,770,33534
,774,12566.5909090909
,775,12317.2834645669
,776,27246.5
,777,38375.75
,778,9186.5
,779,24236
,781,33600.6
,784,47623
,785,43832.5
,787,35551
,788,38645.0909090909
,789,5121.75
,792,11492.7777777778
,793,10153.5238095238
,794,3963.57692307692
,795,2842.07920792079
,805,14126
,806,10029.6666666667
,807,12027.0384615385
,808,65587
,809,33898
,811,38291.3333333333
,812,38501.7307692308
,813,52451
,815,55845.5
,825,48814
,833,19243
,835,21153
,838,28362
,840,41575
,843,32136
,846,87876
,847,52454.5
,848,44486
,849,71396
,853,141616
,854,58899.4285714286
,857,63625
,864,26715.2
,866,24137
,868,28908
,870,194825.75
,871,65563.0621118012
,872,41486.6090909091
,880,21617
,882,18581
,884,40385
,885,18125
,897,18594.8333333333
,903,58648
,914,17119.2
,917,50544.9
,918,18600.3333333333
,920,20000.5
,923,23408
,941,54701
,947,82967.7777777778
,948,38982.5833333333
,949,105347
,950,35034.6666666667
,974,55167
,981,91146.6
,982,75059.5714285714
,987,98164
,988,76358.5
