"FACILITY_NAME","DRG","Total"
"TWIN COUNTY REGIONAL HOSPITAL   ","387",24219
"TWIN COUNTY REGIONAL HOSPITAL   ","388",33387.5
"TWIN COUNTY REGIONAL HOSPITAL   ","389",24739.1666666667
"TWIN COUNTY REGIONAL HOSPITAL   ","390",22460.75
"TWIN COUNTY REGIONAL HOSPITAL   ","391",33074.5454545455
"TWIN COUNTY REGIONAL HOSPITAL   ","392",24320.7704918033
"TWIN COUNTY REGIONAL HOSPITAL   ","393",20088
"TWIN COUNTY REGIONAL HOSPITAL   ","394",25600
"TWIN COUNTY REGIONAL HOSPITAL   ","395",24307
"TWIN COUNTY REGIONAL HOSPITAL   ","415",74689.5
"TWIN COUNTY REGIONAL HOSPITAL   ","416",39672
"TWIN COUNTY REGIONAL HOSPITAL   ","417",67915
"TWIN COUNTY REGIONAL HOSPITAL   ","418",61917.4166666667
"TWIN COUNTY REGIONAL HOSPITAL   ","419",41272.5555555556
"TWIN COUNTY REGIONAL HOSPITAL   ","432",89708
"TWIN COUNTY REGIONAL HOSPITAL   ","433",19458
"TWIN COUNTY REGIONAL HOSPITAL   ","434",20796
"TWIN COUNTY REGIONAL HOSPITAL   ","435",17319
"TWIN COUNTY REGIONAL HOSPITAL   ","436",6549
"TWIN COUNTY REGIONAL HOSPITAL   ","439",29210.3
"TWIN COUNTY REGIONAL HOSPITAL   ","440",19620.3571428571
"TWIN COUNTY REGIONAL HOSPITAL   ","441",44158.3333333333
"TWIN COUNTY REGIONAL HOSPITAL   ","442",21626.5555555556
"TWIN COUNTY REGIONAL HOSPITAL   ","443",9588
"TWIN COUNTY REGIONAL HOSPITAL   ","444",29253
"TWIN COUNTY REGIONAL HOSPITAL   ","445",25775
"TWIN COUNTY REGIONAL HOSPITAL   ","446",24174
"TWIN COUNTY REGIONAL HOSPITAL   ","469",93511
"TWIN COUNTY REGIONAL HOSPITAL   ","470",78487.3
"TWIN COUNTY REGIONAL HOSPITAL   ","480",91746.75
"TWIN COUNTY REGIONAL HOSPITAL   ","481",68540.4166666667
"TWIN COUNTY REGIONAL HOSPITAL   ","482",56826.3333333333
"TWIN COUNTY REGIONAL HOSPITAL   ","501",44115.5
"TWIN COUNTY REGIONAL HOSPITAL   ","502",40377
"TWIN COUNTY REGIONAL HOSPITAL   ","504",36177
"TWIN COUNTY REGIONAL HOSPITAL   ","505",73560
"TWIN COUNTY REGIONAL HOSPITAL   ","514",22878
"TWIN COUNTY REGIONAL HOSPITAL   ","534",13209.5
"TWIN COUNTY REGIONAL HOSPITAL   ","536",18649.0588235294
"TWIN COUNTY REGIONAL HOSPITAL   ","543",21168
"TWIN COUNTY REGIONAL HOSPITAL   ","544",13035
"TWIN COUNTY REGIONAL HOSPITAL   ","550",31721
"TWIN COUNTY REGIONAL HOSPITAL   ","551",31184.3333333333
"TWIN COUNTY REGIONAL HOSPITAL   ","552",17026.7142857143
"TWIN COUNTY REGIONAL HOSPITAL   ","554",13043
"TWIN COUNTY REGIONAL HOSPITAL   ","558",18464
"TWIN COUNTY REGIONAL HOSPITAL   ","563",23909
"TWIN COUNTY REGIONAL HOSPITAL   ","564",61766.3333333333
"TWIN COUNTY REGIONAL HOSPITAL   ","565",38940
"TWIN COUNTY REGIONAL HOSPITAL   ","570",18190
"TWIN COUNTY REGIONAL HOSPITAL   ","580",30394
"TWIN COUNTY REGIONAL HOSPITAL   ","592",19516
"TWIN COUNTY REGIONAL HOSPITAL   ","600",24078.6666666667
"TWIN COUNTY REGIONAL HOSPITAL   ","602",30765.75
"TWIN COUNTY REGIONAL HOSPITAL   ","603",21731.2948717949
"TWIN COUNTY REGIONAL HOSPITAL   ","605",35781
"TWIN COUNTY REGIONAL HOSPITAL   ","606",33035
"TWIN COUNTY REGIONAL HOSPITAL   ","607",17995
"TWIN COUNTY REGIONAL HOSPITAL   ","617",31383
"TWIN COUNTY REGIONAL HOSPITAL   ","623",37249
"TWIN COUNTY REGIONAL HOSPITAL   ","637",32815.3571428571
"TWIN COUNTY REGIONAL HOSPITAL   ","638",18215.6428571429
"TWIN COUNTY REGIONAL HOSPITAL   ","639",16953.5714285714
"TWIN COUNTY REGIONAL HOSPITAL   ","640",31010.4545454545
"TWIN COUNTY REGIONAL HOSPITAL   ","641",22152.6923076923
"TWIN COUNTY REGIONAL HOSPITAL   ","669",30971.6666666667
"TWIN COUNTY REGIONAL HOSPITAL   ","670",26834
"TWIN COUNTY REGIONAL HOSPITAL   ","682",35417
"TWIN COUNTY REGIONAL HOSPITAL   ","683",22196.225
"TWIN COUNTY REGIONAL HOSPITAL   ","684",17966.625
"TWIN COUNTY REGIONAL HOSPITAL   ","689",34775.9473684211
"TWIN COUNTY REGIONAL HOSPITAL   ","690",20227.1304347826
"TWIN COUNTY REGIONAL HOSPITAL   ","693",12515
"TWIN COUNTY REGIONAL HOSPITAL   ","696",28133
"TWIN COUNTY REGIONAL HOSPITAL   ","698",30248.5
"TWIN COUNTY REGIONAL HOSPITAL   ","699",18770.5
"TWIN COUNTY REGIONAL HOSPITAL   ","728",33945
"TWIN COUNTY REGIONAL HOSPITAL   ","742",26614.4
"TWIN COUNTY REGIONAL HOSPITAL   ","743",27381.64
"TWIN COUNTY REGIONAL HOSPITAL   ","744",25927
"TWIN COUNTY REGIONAL HOSPITAL   ","759",3670
"TWIN COUNTY REGIONAL HOSPITAL   ","760",17656
"TWIN COUNTY REGIONAL HOSPITAL   ","761",25332
"TWIN COUNTY REGIONAL HOSPITAL   ","765",27885.2580645161
"TWIN COUNTY REGIONAL HOSPITAL   ","766",23946.8450704225
"TWIN COUNTY REGIONAL HOSPITAL   ","767",37220
"TWIN COUNTY REGIONAL HOSPITAL   ","769",33798
"TWIN COUNTY REGIONAL HOSPITAL   ","774",13985.4444444444
"TWIN COUNTY REGIONAL HOSPITAL   ","775",12353.5701754386
"TWIN COUNTY REGIONAL HOSPITAL   ","776",14216.4
"TWIN COUNTY REGIONAL HOSPITAL   ","778",6423
"TWIN COUNTY REGIONAL HOSPITAL   ","780",4547
"TWIN COUNTY REGIONAL HOSPITAL   ","781",17072.2857142857
"TWIN COUNTY REGIONAL HOSPITAL   ","782",7056.4
"TWIN COUNTY REGIONAL HOSPITAL   ","789",3587
"TWIN COUNTY REGIONAL HOSPITAL   ","791",5018.5
"TWIN COUNTY REGIONAL HOSPITAL   ","792",4573.5
"TWIN COUNTY REGIONAL HOSPITAL   ","793",6471.875
"TWIN COUNTY REGIONAL HOSPITAL   ","794",4901.25
"TWIN COUNTY REGIONAL HOSPITAL   ","795",4180.03597122302
"TWIN COUNTY REGIONAL HOSPITAL   ","808",13899
"TWIN COUNTY REGIONAL HOSPITAL   ","809",27819.5
"TWIN COUNTY REGIONAL HOSPITAL   ","810",24169
"TWIN COUNTY REGIONAL HOSPITAL   ","811",28671.25
"TWIN COUNTY REGIONAL HOSPITAL   ","812",22610.8
"TWIN COUNTY REGIONAL HOSPITAL   ","826",103471
"TWIN COUNTY REGIONAL HOSPITAL   ","853",79178.6666666667
"TWIN COUNTY REGIONAL HOSPITAL   ","854",62617
"TWIN COUNTY REGIONAL HOSPITAL   ","857",36625
"TWIN COUNTY REGIONAL HOSPITAL   ","864",7520.66666666667
"TWIN COUNTY REGIONAL HOSPITAL   ","865",15635
"TWIN COUNTY REGIONAL HOSPITAL   ","869",18889
"TWIN COUNTY REGIONAL HOSPITAL   ","870",105904
"TWIN COUNTY REGIONAL HOSPITAL   ","871",42887.2945205479
"TWIN COUNTY REGIONAL HOSPITAL   ","872",34505.1395348837
"TWIN COUNTY REGIONAL HOSPITAL   ","880",10510.5
"TWIN COUNTY REGIONAL HOSPITAL   ","881",11642.2857142857
"TWIN COUNTY REGIONAL HOSPITAL   ","882",10532.1428571429
"TWIN COUNTY REGIONAL HOSPITAL   ","885",14071.9113924051
"TWIN COUNTY REGIONAL HOSPITAL   ","894",19218
"TWIN COUNTY REGIONAL HOSPITAL   ","896",41885
"TWIN COUNTY REGIONAL HOSPITAL   ","897",12393.2666666667
"TWIN COUNTY REGIONAL HOSPITAL   ","908",20966
"TWIN COUNTY REGIONAL HOSPITAL   ","909",19040
"TWIN COUNTY REGIONAL HOSPITAL   ","914",20466.5
"TWIN COUNTY REGIONAL HOSPITAL   ","915",66726
"TWIN COUNTY REGIONAL HOSPITAL   ","916",22751
"TWIN COUNTY REGIONAL HOSPITAL   ","917",24301.4444444444
"TWIN COUNTY REGIONAL HOSPITAL   ","918",18263.4
"TWIN COUNTY REGIONAL HOSPITAL   ","921",20220
"TWIN COUNTY REGIONAL HOSPITAL   ","947",28270.75
"TWIN COUNTY REGIONAL HOSPITAL   ","948",27393.6666666667
"TWIN COUNTY REGIONAL HOSPITAL   ","951",7609.16666666667
"TWIN COUNTY REGIONAL HOSPITAL   ","964",65497
"TWIN COUNTY REGIONAL HOSPITAL   ","982",44277
"TWIN COUNTY REGIONAL HOSPITAL   ","988",47852
