"FACILITY_NAME","DRG","Total"
"TWIN COUNTY REGIONAL HOSPITAL   ","057",18487
"TWIN COUNTY REGIONAL HOSPITAL   ","061",78153
"TWIN COUNTY REGIONAL HOSPITAL   ","062",52070
"TWIN COUNTY REGIONAL HOSPITAL   ","063",55187
"TWIN COUNTY REGIONAL HOSPITAL   ","064",40078.3333333333
"TWIN COUNTY REGIONAL HOSPITAL   ","065",31543.7826086957
"TWIN COUNTY REGIONAL HOSPITAL   ","066",29481.6111111111
"TWIN COUNTY REGIONAL HOSPITAL   ","069",28161.5789473684
"TWIN COUNTY REGIONAL HOSPITAL   ","070",28041
"TWIN COUNTY REGIONAL HOSPITAL   ","071",24004.1111111111
"TWIN COUNTY REGIONAL HOSPITAL   ","072",23421
"TWIN COUNTY REGIONAL HOSPITAL   ","076",21861
"TWIN COUNTY REGIONAL HOSPITAL   ","077",33859
"TWIN COUNTY REGIONAL HOSPITAL   ","078",21727
"TWIN COUNTY REGIONAL HOSPITAL   ","086",13901
"TWIN COUNTY REGIONAL HOSPITAL   ","087",33335.5
"TWIN COUNTY REGIONAL HOSPITAL   ","091",35574
"TWIN COUNTY REGIONAL HOSPITAL   ","092",34687
"TWIN COUNTY REGIONAL HOSPITAL   ","093",21802.5
"TWIN COUNTY REGIONAL HOSPITAL   ","100",37643.5
"TWIN COUNTY REGIONAL HOSPITAL   ","101",19898.375
"TWIN COUNTY REGIONAL HOSPITAL   ","103",30578
"TWIN COUNTY REGIONAL HOSPITAL   ","149",33831.5
"TWIN COUNTY REGIONAL HOSPITAL   ","153",17434.1666666667
"TWIN COUNTY REGIONAL HOSPITAL   ","156",6890
"TWIN COUNTY REGIONAL HOSPITAL   ","158",12766
"TWIN COUNTY REGIONAL HOSPITAL   ","175",34387.7142857143
"TWIN COUNTY REGIONAL HOSPITAL   ","176",24878.6363636364
"TWIN COUNTY REGIONAL HOSPITAL   ","177",36736.3939393939
"TWIN COUNTY REGIONAL HOSPITAL   ","178",31924.2222222222
"TWIN COUNTY REGIONAL HOSPITAL   ","179",24646.25
"TWIN COUNTY REGIONAL HOSPITAL   ","185",22147
"TWIN COUNTY REGIONAL HOSPITAL   ","188",18718
"TWIN COUNTY REGIONAL HOSPITAL   ","189",30704.7281553398
"TWIN COUNTY REGIONAL HOSPITAL   ","190",26597.1351351351
"TWIN COUNTY REGIONAL HOSPITAL   ","191",22052.6578947368
"TWIN COUNTY REGIONAL HOSPITAL   ","192",17739.5833333333
"TWIN COUNTY REGIONAL HOSPITAL   ","193",34409.2941176471
"TWIN COUNTY REGIONAL HOSPITAL   ","194",26199.75
"TWIN COUNTY REGIONAL HOSPITAL   ","195",18862.1818181818
"TWIN COUNTY REGIONAL HOSPITAL   ","196",21341
"TWIN COUNTY REGIONAL HOSPITAL   ","199",25971
"TWIN COUNTY REGIONAL HOSPITAL   ","200",22524
"TWIN COUNTY REGIONAL HOSPITAL   ","201",14897
"TWIN COUNTY REGIONAL HOSPITAL   ","202",21672.8
"TWIN COUNTY REGIONAL HOSPITAL   ","203",14977
"TWIN COUNTY REGIONAL HOSPITAL   ","205",46372.75
"TWIN COUNTY REGIONAL HOSPITAL   ","206",8088
"TWIN COUNTY REGIONAL HOSPITAL   ","208",56844.1875
"TWIN COUNTY REGIONAL HOSPITAL   ","242",113064
"TWIN COUNTY REGIONAL HOSPITAL   ","256",34146
"TWIN COUNTY REGIONAL HOSPITAL   ","264",27175
"TWIN COUNTY REGIONAL HOSPITAL   ","280",25881.3529411765
"TWIN COUNTY REGIONAL HOSPITAL   ","281",21271.6470588235
"TWIN COUNTY REGIONAL HOSPITAL   ","282",14917.7142857143
"TWIN COUNTY REGIONAL HOSPITAL   ","288",19117
"TWIN COUNTY REGIONAL HOSPITAL   ","291",32487.4
"TWIN COUNTY REGIONAL HOSPITAL   ","292",22251.4333333333
"TWIN COUNTY REGIONAL HOSPITAL   ","293",17769.0588235294
"TWIN COUNTY REGIONAL HOSPITAL   ","299",21143
"TWIN COUNTY REGIONAL HOSPITAL   ","300",21778.75
"TWIN COUNTY REGIONAL HOSPITAL   ","301",24999
"TWIN COUNTY REGIONAL HOSPITAL   ","303",24540.3333333333
"TWIN COUNTY REGIONAL HOSPITAL   ","304",35362
"TWIN COUNTY REGIONAL HOSPITAL   ","305",23070.8571428571
"TWIN COUNTY REGIONAL HOSPITAL   ","308",28559.1
"TWIN COUNTY REGIONAL HOSPITAL   ","309",24386.0769230769
"TWIN COUNTY REGIONAL HOSPITAL   ","310",14155.2272727273
"TWIN COUNTY REGIONAL HOSPITAL   ","311",18239.5
"TWIN COUNTY REGIONAL HOSPITAL   ","312",19618
"TWIN COUNTY REGIONAL HOSPITAL   ","313",11167
"TWIN COUNTY REGIONAL HOSPITAL   ","314",83596.5
"TWIN COUNTY REGIONAL HOSPITAL   ","315",22139.3333333333
"TWIN COUNTY REGIONAL HOSPITAL   ","326",77809
"TWIN COUNTY REGIONAL HOSPITAL   ","329",104672.666666667
"TWIN COUNTY REGIONAL HOSPITAL   ","330",76781.3333333333
"TWIN COUNTY REGIONAL HOSPITAL   ","331",38898.6666666667
"TWIN COUNTY REGIONAL HOSPITAL   ","336",87445.6666666667
"TWIN COUNTY REGIONAL HOSPITAL   ","337",20926
"TWIN COUNTY REGIONAL HOSPITAL   ","339",54470
"TWIN COUNTY REGIONAL HOSPITAL   ","342",47705.25
"TWIN COUNTY REGIONAL HOSPITAL   ","343",41008
"TWIN COUNTY REGIONAL HOSPITAL   ","344",92945
"TWIN COUNTY REGIONAL HOSPITAL   ","348",37079
"TWIN COUNTY REGIONAL HOSPITAL   ","351",55615
"TWIN COUNTY REGIONAL HOSPITAL   ","352",41881.5
"TWIN COUNTY REGIONAL HOSPITAL   ","354",31994
"TWIN COUNTY REGIONAL HOSPITAL   ","355",28681.5
"TWIN COUNTY REGIONAL HOSPITAL   ","357",66496
"TWIN COUNTY REGIONAL HOSPITAL   ","358",38223
"TWIN COUNTY REGIONAL HOSPITAL   ","369",36094
"TWIN COUNTY REGIONAL HOSPITAL   ","371",32907.4
"TWIN COUNTY REGIONAL HOSPITAL   ","372",29574.8
"TWIN COUNTY REGIONAL HOSPITAL   ","373",28196
"TWIN COUNTY REGIONAL HOSPITAL   ","374",57819.5
"TWIN COUNTY REGIONAL HOSPITAL   ","375",30857
"TWIN COUNTY REGIONAL HOSPITAL   ","377",50664.4444444444
"TWIN COUNTY REGIONAL HOSPITAL   ","378",32428.6129032258
"TWIN COUNTY REGIONAL HOSPITAL   ","379",21512.7142857143
"TWIN COUNTY REGIONAL HOSPITAL   ","380",44771
"TWIN COUNTY REGIONAL HOSPITAL   ","383",24490
"TWIN COUNTY REGIONAL HOSPITAL   ","386",32068.5
