"DRG","Average Charges"
871,34525.28
189,34931.41
190,32272.39
191,23301.82
198,18310.46
192,19780.56
194,23189.02
291,33046.5
197,31702.17
292,22074.29
193,39953.17
683,20113.44
872,22385.73
202,22480.36
690,19199.05
196,53301
178,34841.79
603,15623.58
195,19499.77
392,18299.29
280,31601.33
203,14007.09
378,19646.18
153,9301.1
293,17670.2
638,18613.8
682,29260.9
309,20099.44
641,16242
812,23059.14
207,118671.5
208,55542.67
416,27594.83
440,16201.67
300,16271.4
308,26610.4
394,22747.4
439,25608
689,25041.2
699,19999.8
917,21549.6
65,23442.25
176,24273.25
281,14176
305,17453.5
312,20294
389,20409.5
640,33959
684,11293.25
811,22623.75
177,61059.33
179,58846.67
186,25882.67
277,16064.33
282,11134
310,15191.67
372,18527.67
390,25373.66
391,42817.33
415,29290.33
637,25019
639,7735
643,44413.33
918,15935.67
948,18760.33
57,14659.5
87,18972
100,35302
166,82108.5
180,36293
301,7195
373,22501
419,23448.5
438,33579.25
442,39070
446,11721.5
540,38998
541,52815.5
602,78459
866,3551.5
989,22065
999,34575
16,13630.5
64,37204
66,18201.5
88,16694
90,19545
92,22033
103,20885
158,12973
167,24735
181,18486
204,19868
278,14777.5
283,46398
298,5063
303,17593
304,21989
313,16492
328,23153
343,28475
351,21505
355,18146
377,31678
379,21310.5
381,29608
386,11621
393,33460
395,14528
410,28849
422,25959
441,38002
445,22459
466,8435.5
494,23809
543,21916
552,14233
561,9171
563,22995
584,88945.5
628,50933
698,19499
777,4045
793,7954
816,15256
868,14100
870,133324
919,15659.5
982,38953
987,108100
